epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1705,0.98044,2.10157,0.96892,0.79091,0.94565,0.94264,0.77048,0.72542,2.65917,0.83081,0.000653846,0.000653846,0.000653846
2,27.9166,0.74956,0.8357,0.89258,0.96673,0.94757,0.99207,0.87496,0.61539,1.3491,0.8239,0.00127694,0.00127694,0.00127694
3,41.1013,0.7369,0.72764,0.89406,0.98768,0.97826,0.98874,0.76975,0.77121,0.78223,0.85185,0.00185603,0.00185603,0.00185603
4,54.2006,0.72006,0.7455,0.89302,0.98725,0.97826,0.9771,0.84901,0.53488,0.67564,0.84628,0.001802,0.001802,0.001802
5,67.1962,0.65158,0.69053,0.88278,0.98465,1,0.99414,0.90229,0.46647,0.52861,0.82334,0.001736,0.001736,0.001736
6,80.3414,0.6703,0.63651,0.87391,0.9877,1,0.99435,0.89461,0.46402,0.52673,0.82494,0.00167,0.00167,0.00167
7,93.4694,0.5982,0.62118,0.87476,0.99196,0.97826,0.99409,0.9024,0.44921,0.53197,0.81803,0.001604,0.001604,0.001604
8,106.731,0.61781,0.59255,0.86906,0.98762,0.98913,0.99429,0.86909,0.48404,0.51515,0.8075,0.001538,0.001538,0.001538
9,119.802,0.55648,0.5569,0.84215,0.98902,0.98913,0.99336,0.92637,0.38983,0.48731,0.80563,0.001472,0.001472,0.001472
10,133.081,0.54545,0.52827,0.85175,0.98924,0.99942,0.99489,0.90427,0.41065,0.48511,0.8022,0.001406,0.001406,0.001406
11,146.235,0.54962,0.58576,0.86249,0.98924,0.99923,0.99489,0.92776,0.40443,0.45427,0.80847,0.00134,0.00134,0.00134
12,159.404,0.49055,0.48602,0.83278,0.98844,1,0.99489,0.94338,0.34083,0.40304,0.79779,0.001274,0.001274,0.001274
13,172.627,0.51461,0.50669,0.85019,0.98924,0.99896,0.99489,0.92995,0.36977,0.41857,0.80572,0.001208,0.001208,0.001208
14,185.628,0.48995,0.46608,0.83429,0.97838,1,0.99457,0.92464,0.38632,0.42702,0.80359,0.001142,0.001142,0.001142
15,198.789,0.47168,0.43539,0.84008,0.98922,0.99741,0.99457,0.92633,0.35521,0.38535,0.80496,0.001076,0.001076,0.001076
16,211.918,0.4628,0.45714,0.82904,0.98882,1,0.99489,0.92778,0.35467,0.37475,0.79654,0.00101,0.00101,0.00101
17,225.142,0.46264,0.44926,0.82813,0.98864,1,0.99478,0.93908,0.33025,0.33944,0.79543,0.000944,0.000944,0.000944
18,238.237,0.4468,0.42745,0.83116,0.9887,1,0.99489,0.94935,0.32628,0.31165,0.79329,0.000878,0.000878,0.000878
19,251.381,0.43509,0.42288,0.81898,0.98849,1,0.99414,0.95,0.30233,0.33761,0.79131,0.000812,0.000812,0.000812
20,265.234,0.41722,0.40863,0.82577,0.98858,1,0.99478,0.95894,0.28353,0.303,0.78499,0.000746,0.000746,0.000746
21,293.852,0.41054,0.42782,0.83013,0.9886,1,0.995,0.96226,0.31159,0.46955,0.7858,0.00068,0.00068,0.00068
22,307.05,0.43699,0.46056,0.82394,0.98861,1,0.99414,0.94484,0.34724,0.32389,0.79277,0.000614,0.000614,0.000614
23,321.144,0.42255,0.43031,0.83021,0.9886,1,0.99468,0.97579,0.30352,0.30947,0.78708,0.000548,0.000548,0.000548
24,334.476,0.39733,0.39816,0.82772,0.98844,1,0.99425,0.94958,0.30324,0.30243,0.78947,0.000482,0.000482,0.000482
25,347.776,0.39387,0.40674,0.81851,0.98894,1,0.995,0.95664,0.29886,0.32305,0.78771,0.000416,0.000416,0.000416
26,361.198,0.37246,0.37838,0.81627,0.98868,1,0.99468,0.9698,0.29769,0.29347,0.78555,0.00035,0.00035,0.00035
27,374.642,0.38887,0.39761,0.82836,0.98859,1,0.99478,0.93892,0.35555,0.30553,0.79598,0.000284,0.000284,0.000284
28,389.191,0.34897,0.36673,0.81352,0.98852,1,0.99478,0.96755,0.28537,0.28921,0.78515,0.000218,0.000218,0.000218
29,402.683,0.35799,0.36992,0.81277,0.98867,1,0.995,0.96353,0.29449,0.29209,0.78347,0.000152,0.000152,0.000152
30,416.752,0.34702,0.34985,0.81829,0.98869,1,0.995,0.97105,0.27213,0.27495,0.78294,8.6e-05,8.6e-05,8.6e-05
